Year,Country,Energy_Consumption,Growth_Rate
2002,Czechia,43.0,43.0
2003,Czechia,45.0,45.0
2004,Czechia,46.0,46.0
2005,Czechia,45.0,45.0
2006,Czechia,46.0,46.0
2007,Czechia,46.0,46.0
2008,Czechia,45.0,45.0
2009,Czechia,43.0,43.0
2010,Czechia,45.0,45.0
2011,Czechia,43.0,43.0
2012,Czechia,43.0,43.0
2013,Czechia,43.0,43.0
2014,Czechia,42.0,42.0
2015,Czechia,42.0,42.0
2016,Czechia,41.0,41.0
2017,Czechia,43.0,43.0
2018,Czechia,43.0,43.0
2019,Czechia,43.0,43.0
2020,Czechia,39.0,39.0
1990,France,225.0,225.0
1991,France,237.0,237.0
1992,France,234.0,234.0
1993,France,238.0,238.0
1994,France,231.0,231.0
1995,France,240.0,240.0
1996,France,251.0,251.0
1997,France,244.0,244.0
1998,France,252.0,252.0
1999,France,252.0,252.0
2000,France,255.0,255.0
2001,France,260.0,260.0
2002,France,261.0,261.0
2003,France,268.0,268.0
2004,France,271.0,271.0
2005,France,273.0,273.0
2006,France,268.0,268.0
2007,France,265.0,265.0
2008,France,266.0,266.0
2009,France,255.0,255.0
2010,France,263.0,263.0
2011,France,258.0,258.0
2012,France,258.0,258.0
2013,France,259.0,259.0
2014,France,249.0,249.0
2015,France,253.0,253.0
2016,France,248.0,248.0
2017,France,247.0,247.0
2018,France,246.0,246.0
2019,France,243.0,243.0
2020,France,217.0,217.0
1990,Germany,351.0,351.0
1991,Germany,344.0,344.0
1992,Germany,338.0,338.0
1993,Germany,335.0,335.0
1994,Germany,333.0,333.0
1995,Germany,336.0,336.0
1996,Germany,348.0,348.0
1997,Germany,345.0,345.0
1998,Germany,343.0,343.0
1999,Germany,335.0,335.0
2000,Germany,337.0,337.0
2001,Germany,347.0,347.0
2002,Germany,339.0,339.0
2003,Germany,338.0,338.0
2004,Germany,341.0,341.0
2005,Germany,339.0,339.0
2006,Germany,349.0,349.0
2007,Germany,331.0,331.0
2008,Germany,335.0,335.0
2009,Germany,313.0,313.0
2010,Germany,330.0,330.0
2011,Germany,313.0,313.0
2012,Germany,315.0,315.0
2013,Germany,322.0,322.0
2014,Germany,307.0,307.0
2015,Germany,309.0,309.0
2016,Germany,310.0,310.0
2017,Germany,311.0,311.0
2018,Germany,302.0,302.0
2019,Germany,294.0,294.0
2020,Germany,275.0,275.0
1990,Italy,147.0,147.0
1991,Italy,150.0,150.0
1992,Italy,149.0,149.0
1993,Italy,149.0,149.0
1994,Italy,147.0,147.0
1995,Italy,159.0,159.0
1996,Italy,159.0,159.0
1997,Italy,162.0,162.0
1998,Italy,166.0,166.0
1999,Italy,169.0,169.0
2000,Italy,172.0,172.0
2001,Italy,172.0,172.0
2002,Italy,174.0,174.0
2003,Italy,182.0,182.0
2004,Italy,183.0,183.0
2005,Italy,187.0,187.0
2006,Italy,185.0,185.0
2007,Italy,184.0,184.0
2008,Italy,182.0,182.0
2009,Italy,170.0,170.0
2010,Italy,174.0,174.0
2011,Italy,168.0,168.0
2012,Italy,162.0,162.0
2013,Italy,156.0,156.0
2014,Italy,147.0,147.0
2015,Italy,153.0,153.0
2016,Italy,151.0,151.0
2017,Italy,154.0,154.0
2018,Italy,151.0,151.0
2019,Italy,149.0,149.0
2020,Italy,137.0,137.0
1990,Netherlands,67.0,67.0
1991,Netherlands,69.0,69.0
1992,Netherlands,69.0,69.0
1993,Netherlands,70.0,70.0
1994,Netherlands,70.0,70.0
1995,Netherlands,73.0,73.0
1996,Netherlands,77.0,77.0
1997,Netherlands,75.0,75.0
1998,Netherlands,75.0,75.0
1999,Netherlands,74.0,74.0
2000,Netherlands,75.0,75.0
2001,Netherlands,77.0,77.0
2002,Netherlands,78.0,78.0
2003,Netherlands,80.0,80.0
2004,Netherlands,81.0,81.0
2005,Netherlands,80.0,80.0
2006,Netherlands,79.0,79.0
2007,Netherlands,79.0,79.0
2008,Netherlands,78.0,78.0
2009,Netherlands,77.0,77.0
2010,Netherlands,83.0,83.0
2011,Netherlands,77.0,77.0
2012,Netherlands,77.0,77.0
2013,Netherlands,75.0,75.0
2014,Netherlands,71.0,71.0
2015,Netherlands,72.0,72.0
2016,Netherlands,74.0,74.0
2017,Netherlands,74.0,74.0
2018,Netherlands,73.0,73.0
2019,Netherlands,72.0,72.0
2020,Netherlands,70.0,70.0
1990,Poland,103.0,103.0
1991,Poland,101.0,101.0
1992,Poland,99.0,99.0
1993,Poland,101.0,101.0
1994,Poland,96.0,96.0
1995,Poland,99.0,99.0
1996,Poland,104.0,104.0
1997,Poland,102.0,102.0
1998,Poland,95.0,95.0
1999,Poland,93.0,93.0
2000,Poland,89.0,89.0
2001,Poland,90.0,90.0
2002,Poland,89.0,89.0
2003,Poland,91.0,91.0
2004,Poland,91.0,91.0
2005,Poland,92.0,92.0
2006,Poland,97.0,97.0
2007,Poland,97.0,97.0
2008,Poland,98.0,98.0
2009,Poland,94.0,94.0
2010,Poland,101.0,101.0
2011,Poland,101.0,101.0
2012,Poland,98.0,98.0
2013,Poland,98.0,98.0
2014,Poland,95.0,95.0
2015,Poland,96.0,96.0
2016,Poland,100.0,100.0
2017,Poland,104.0,104.0
2018,Poland,106.0,106.0
2019,Poland,103.0,103.0
2020,Poland,97.0,97.0
1990,Portugal,17.0,17.0
1991,Portugal,17.0,17.0
1992,Portugal,18.0,18.0
1993,Portugal,18.0,18.0
1994,Portugal,18.0,18.0
1995,Portugal,20.0,20.0
1996,Portugal,20.0,20.0
1997,Portugal,21.0,21.0
1998,Portugal,23.0,23.0
1999,Portugal,24.0,24.0
2000,Portugal,25.0,25.0
2001,Portugal,25.0,25.0
2002,Portugal,26.0,26.0
2003,Portugal,25.0,25.0
2004,Portugal,26.0,26.0
2005,Portugal,26.0,26.0
2006,Portugal,25.0,25.0
2007,Portugal,25.0,25.0
2008,Portugal,25.0,25.0
2009,Portugal,24.0,24.0
2010,Portugal,23.0,23.0
2011,Portugal,23.0,23.0
2012,Portugal,21.0,21.0
2013,Portugal,22.0,22.0
2014,Portugal,21.0,21.0
2015,Portugal,22.0,22.0
2016,Portugal,22.0,22.0
2017,Portugal,23.0,23.0
2018,Portugal,22.0,22.0
2019,Portugal,22.0,22.0
2020,Portugal,20.0,20.0
1990,Romania,62.0,62.0
1991,Romania,51.0,51.0
1992,Romania,46.0,46.0
1993,Romania,46.0,46.0
1994,Romania,43.0,43.0
1995,Romania,47.0,47.0
1996,Romania,48.0,48.0
1997,Romania,45.0,45.0
1998,Romania,41.0,41.0
1999,Romania,36.0,36.0
2000,Romania,36.0,36.0
2001,Romania,37.0,37.0
2002,Romania,38.0,38.0
2003,Romania,40.0,40.0
2004,Romania,39.0,39.0
2005,Romania,39.0,39.0
2006,Romania,40.0,40.0
2007,Romania,40.0,40.0
2008,Romania,40.0,40.0
2009,Romania,35.0,35.0
2010,Romania,35.0,35.0
2011,Romania,36.0,36.0
2012,Romania,35.0,35.0
2013,Romania,32.0,32.0
2014,Romania,32.0,32.0
2015,Romania,32.0,32.0
2016,Romania,32.0,32.0
2017,Romania,33.0,33.0
2018,Romania,34.0,34.0
2019,Romania,33.0,33.0
2020,Romania,32.0,32.0
1990,Spain,90.0,90.0
1991,Spain,93.0,93.0
1992,Spain,95.0,95.0
1993,Spain,91.0,91.0
1994,Spain,96.0,96.0
1995,Spain,101.0,101.0
1996,Spain,99.0,99.0
1997,Spain,106.0,106.0
1998,Spain,111.0,111.0
1999,Spain,116.0,116.0
2000,Spain,121.0,121.0
2001,Spain,125.0,125.0
2002,Spain,128.0,128.0
2003,Spain,133.0,133.0
2004,Spain,139.0,139.0
2005,Spain,142.0,142.0
2006,Spain,141.0,141.0
2007,Spain,143.0,143.0
2008,Spain,139.0,139.0
2009,Spain,127.0,127.0
2010,Spain,127.0,127.0
2011,Spain,125.0,125.0
2012,Spain,124.0,124.0
2013,Spain,116.0,116.0
2014,Spain,113.0,113.0
2015,Spain,117.0,117.0
2016,Spain,118.0,118.0
2017,Spain,125.0,125.0
2018,Spain,124.0,124.0
2019,Spain,121.0,121.0
2020,Spain,107.0,107.0
1990,Sweden,47.0,47.0
1991,Sweden,49.0,49.0
1992,Sweden,47.0,47.0
1993,Sweden,46.0,46.0
1994,Sweden,50.0,50.0
1995,Sweden,50.0,50.0
1996,Sweden,51.0,51.0
1997,Sweden,50.0,50.0
1998,Sweden,51.0,51.0
1999,Sweden,50.0,50.0
2000,Sweden,48.0,48.0
2001,Sweden,50.0,50.0
2002,Sweden,52.0,52.0
2003,Sweden,51.0,51.0
2004,Sweden,53.0,53.0
2005,Sweden,52.0,52.0
2006,Sweden,50.0,50.0
2007,Sweden,50.0,50.0
2008,Sweden,50.0,50.0
2009,Sweden,45.0,45.0
2010,Sweden,51.0,51.0
2011,Sweden,50.0,50.0
2012,Sweden,50.0,50.0
2013,Sweden,49.0,49.0
2014,Sweden,48.0,48.0
2015,Sweden,44.0,44.0
2016,Sweden,48.0,48.0
2017,Sweden,49.0,49.0
2018,Sweden,50.0,50.0
2019,Sweden,49.0,49.0
2020,Sweden,47.0,47.0
1990,United Kingdom,206.0,206.0
1991,United Kingdom,213.0,213.0
1992,United Kingdom,213.0,213.0
1993,United Kingdom,215.0,215.0
1994,United Kingdom,216.0,216.0
1995,United Kingdom,217.0,217.0
1996,United Kingdom,226.0,226.0
1997,United Kingdom,219.0,219.0
1998,United Kingdom,221.0,221.0
1999,United Kingdom,222.0,222.0
2000,United Kingdom,223.0,223.0
2001,United Kingdom,224.0,224.0
2002,United Kingdom,221.0,221.0
2003,United Kingdom,224.0,224.0
2004,United Kingdom,222.0,222.0
2005,United Kingdom,223.0,223.0
2006,United Kingdom,219.0,219.0
2007,United Kingdom,211.0,211.0
2008,United Kingdom,209.0,209.0
2009,United Kingdom,196.0,196.0
2010,United Kingdom,204.0,204.0
2011,United Kingdom,189.0,189.0
2012,United Kingdom,194.0,194.0
2013,United Kingdom,191.0,191.0
2014,United Kingdom,180.0,180.0
2015,United Kingdom,182.0,182.0
2016,United Kingdom,179.0,179.0
2017,United Kingdom,176.0,176.0
2018,United Kingdom,175.0,175.0
2019,United Kingdom,170.0,170.0
2020,United Kingdom,154.0,154.0
1990,Norway,21.0,21.0
1991,Norway,22.0,22.0
1992,Norway,22.0,22.0
1993,Norway,24.0,24.0
1994,Norway,23.0,23.0
1995,Norway,24.0,24.0
1996,Norway,23.0,23.0
1997,Norway,24.0,24.0
1998,Norway,25.0,25.0
1999,Norway,26.0,26.0
2000,Norway,26.0,26.0
2001,Norway,27.0,27.0
2002,Norway,25.0,25.0
2003,Norway,27.0,27.0
2004,Norway,27.0,27.0
2005,Norway,27.0,27.0
2006,Norway,27.0,27.0
2007,Norway,28.0,28.0
2008,Norway,32.0,32.0
2009,Norway,32.0,32.0
2010,Norway,33.0,33.0
2011,Norway,28.0,28.0
2012,Norway,31.0,31.0
2013,Norway,33.0,33.0
2014,Norway,29.0,29.0
2015,Norway,30.0,30.0
2016,Norway,29.0,29.0
2017,Norway,30.0,30.0
2018,Norway,29.0,29.0
2019,Norway,28.0,28.0
2020,Norway,27.0,27.0
1990,Turkey,51.0,51.0
1991,Turkey,51.0,51.0
1992,Turkey,53.0,53.0
1993,Turkey,56.0,56.0
1994,Turkey,56.0,56.0
1995,Turkey,61.0,61.0
1996,Turkey,66.0,66.0
1997,Turkey,70.0,70.0
1998,Turkey,71.0,71.0
1999,Turkey,70.0,70.0
2000,Turkey,76.0,76.0
2001,Turkey,70.0,70.0
2002,Turkey,74.0,74.0
2003,Turkey,79.0,79.0
2004,Turkey,81.0,81.0
2005,Turkey,84.0,84.0
2006,Turkey,93.0,93.0
2007,Turkey,100.0,100.0
2008,Turkey,98.0,98.0
2009,Turkey,98.0,98.0
2010,Turkey,106.0,106.0
2011,Turkey,112.0,112.0
2012,Turkey,118.0,118.0
2013,Turkey,115.0,115.0
2014,Turkey,119.0,119.0
2015,Turkey,129.0,129.0
2016,Turkey,137.0,137.0
2017,Turkey,147.0,147.0
2018,Turkey,144.0,144.0
2019,Turkey,145.0,145.0
2020,Turkey,141.0,141.0
1990,Kazakhstan,73.0,73.0
1991,Kazakhstan,75.0,75.0
1992,Kazakhstan,79.0,79.0
1993,Kazakhstan,66.0,66.0
1994,Kazakhstan,58.0,58.0
1995,Kazakhstan,52.0,52.0
1996,Kazakhstan,45.0,45.0
1997,Kazakhstan,39.0,39.0
1998,Kazakhstan,39.0,39.0
1999,Kazakhstan,36.0,36.0
2000,Kazakhstan,36.0,36.0
2001,Kazakhstan,35.0,35.0
2002,Kazakhstan,40.0,40.0
2003,Kazakhstan,43.0,43.0
2004,Kazakhstan,51.0,51.0
2005,Kazakhstan,51.0,51.0
2006,Kazakhstan,61.0,61.0
2007,Kazakhstan,66.0,66.0
2008,Kazakhstan,70.0,70.0
2009,Kazakhstan,63.0,63.0
2010,Kazakhstan,69.0,69.0
2011,Kazakhstan,77.0,77.0
2012,Kazakhstan,74.0,74.0
2013,Kazakhstan,82.0,82.0
2014,Kazakhstan,65.0,65.0
2015,Kazakhstan,55.0,55.0
2016,Kazakhstan,64.0,64.0
2017,Kazakhstan,66.0,66.0
2018,Kazakhstan,76.0,76.0
2019,Kazakhstan,77.0,77.0
2020,Kazakhstan,70.0,70.0
1990,Russia,879.0,879.0
1991,Russia,871.0,871.0
1992,Russia,795.0,795.0
1993,Russia,751.0,751.0
1994,Russia,657.0,657.0
1995,Russia,636.0,636.0
1996,Russia,630.0,630.0
1997,Russia,602.0,602.0
1998,Russia,588.0,588.0
1999,Russia,609.0,609.0
2000,Russia,619.0,619.0
2001,Russia,626.0,626.0
2002,Russia,623.0,623.0
2003,Russia,645.0,645.0
2004,Russia,647.0,647.0
2005,Russia,651.0,651.0
2006,Russia,670.0,670.0
2007,Russia,672.0,672.0
2008,Russia,688.0,688.0
2009,Russia,647.0,647.0
2010,Russia,688.0,688.0
2011,Russia,711.0,711.0
2012,Russia,728.0,728.0
2013,Russia,707.0,707.0
2014,Russia,707.0,707.0
2015,Russia,693.0,693.0
2016,Russia,714.0,714.0
2017,Russia,729.0,729.0
2018,Russia,760.0,760.0
2019,Russia,768.0,768.0
2020,Russia,731.0,731.0
1990,Ukraine,252.0,252.0
1991,Ukraine,252.0,252.0
1992,Ukraine,220.0,220.0
1993,Ukraine,195.0,195.0
1994,Ukraine,166.0,166.0
1995,Ukraine,164.0,164.0
1996,Ukraine,150.0,150.0
1997,Ukraine,144.0,144.0
1998,Ukraine,136.0,136.0
1999,Ukraine,135.0,135.0
2000,Ukraine,134.0,134.0
2001,Ukraine,134.0,134.0
2002,Ukraine,136.0,136.0
2003,Ukraine,141.0,141.0
2004,Ukraine,142.0,142.0
2005,Ukraine,141.0,141.0
2006,Ukraine,137.0,137.0
2007,Ukraine,139.0,139.0
2008,Ukraine,135.0,135.0
2009,Ukraine,114.0,114.0
2010,Ukraine,132.0,132.0
2011,Ukraine,126.0,126.0
2012,Ukraine,122.0,122.0
2013,Ukraine,116.0,116.0
2014,Ukraine,106.0,106.0
2015,Ukraine,93.0,93.0
2016,Ukraine,92.0,92.0
2017,Ukraine,89.0,89.0
2018,Ukraine,93.0,93.0
2019,Ukraine,89.0,89.0
2020,Ukraine,86.0,86.0
1990,Uzbekistan,47.0,47.0
1991,Uzbekistan,48.0,48.0
1992,Uzbekistan,45.0,45.0
1993,Uzbekistan,47.0,47.0
1994,Uzbekistan,46.0,46.0
1995,Uzbekistan,43.0,43.0
1996,Uzbekistan,44.0,44.0
1997,Uzbekistan,45.0,45.0
1998,Uzbekistan,47.0,47.0
1999,Uzbekistan,50.0,50.0
2000,Uzbekistan,51.0,51.0
2001,Uzbekistan,51.0,51.0
2002,Uzbekistan,53.0,53.0
2003,Uzbekistan,51.0,51.0
2004,Uzbekistan,51.0,51.0
2005,Uzbekistan,48.0,48.0
2006,Uzbekistan,49.0,49.0
2007,Uzbekistan,48.0,48.0
2008,Uzbekistan,50.0,50.0
2009,Uzbekistan,46.0,46.0
2010,Uzbekistan,49.0,49.0
2011,Uzbekistan,50.0,50.0
2012,Uzbekistan,44.0,44.0
2013,Uzbekistan,44.0,44.0
2014,Uzbekistan,41.0,41.0
2015,Uzbekistan,39.0,39.0
2016,Uzbekistan,42.0,42.0
2017,Uzbekistan,44.0,44.0
2018,Uzbekistan,46.0,46.0
2019,Uzbekistan,47.0,47.0
2020,Uzbekistan,44.0,44.0
1990,Argentina,44.0,44.0
1991,Argentina,46.0,46.0
1992,Argentina,47.0,47.0
1993,Argentina,48.0,48.0
1994,Argentina,52.0,52.0
1995,Argentina,52.0,52.0
1996,Argentina,54.0,54.0
1997,Argentina,56.0,56.0
1998,Argentina,59.0,59.0
1999,Argentina,61.0,61.0
2000,Argentina,61.0,61.0
2001,Argentina,56.0,56.0
2002,Argentina,56.0,56.0
2003,Argentina,60.0,60.0
2004,Argentina,67.0,67.0
2005,Argentina,66.0,66.0
2006,Argentina,70.0,70.0
2007,Argentina,73.0,73.0
2008,Argentina,76.0,76.0
2009,Argentina,70.0,70.0
2010,Argentina,75.0,75.0
2011,Argentina,77.0,77.0
2012,Argentina,80.0,80.0
2013,Argentina,82.0,82.0
2014,Argentina,82.0,82.0
2015,Argentina,83.0,83.0
2016,Argentina,82.0,82.0
2017,Argentina,82.0,82.0
2018,Argentina,80.0,80.0
2019,Argentina,79.0,79.0
2020,Argentina,72.0,72.0
1990,Canada,211.0,211.0
1991,Canada,210.0,210.0
1992,Canada,216.0,216.0
1993,Canada,223.0,223.0
1994,Canada,231.0,231.0
1995,Canada,234.0,234.0
1996,Canada,239.0,239.0
1997,Canada,242.0,242.0
1998,Canada,240.0,240.0
1999,Canada,247.0,247.0
2000,Canada,254.0,254.0
2001,Canada,250.0,250.0
2002,Canada,251.0,251.0
2003,Canada,264.0,264.0
2004,Canada,271.0,271.0
2005,Canada,274.0,274.0
2006,Canada,278.0,278.0
2007,Canada,278.0,278.0
2008,Canada,271.0,271.0
2009,Canada,261.0,261.0
2010,Canada,262.0,262.0
2011,Canada,267.0,267.0
2012,Canada,269.0,269.0
2013,Canada,275.0,275.0
2014,Canada,282.0,282.0
2015,Canada,283.0,283.0
2016,Canada,287.0,287.0
2017,Canada,295.0,295.0
2018,Canada,298.0,298.0
2019,Canada,301.0,301.0
2020,Canada,281.0,281.0
1990,Chile,14.0,14.0
1991,Chile,14.0,14.0
1992,Chile,15.0,15.0
1993,Chile,16.0,16.0
1994,Chile,17.0,17.0
1995,Chile,18.0,18.0
1996,Chile,20.0,20.0
1997,Chile,23.0,23.0
1998,Chile,24.0,24.0
1999,Chile,25.0,25.0
2000,Chile,25.0,25.0
2001,Chile,25.0,25.0
2002,Chile,26.0,26.0
2003,Chile,26.0,26.0
2004,Chile,28.0,28.0
2005,Chile,28.0,28.0
2006,Chile,30.0,30.0
2007,Chile,31.0,31.0
2008,Chile,30.0,30.0
2009,Chile,30.0,30.0
2010,Chile,31.0,31.0
2011,Chile,34.0,34.0
2012,Chile,37.0,37.0
2013,Chile,38.0,38.0
2014,Chile,35.0,35.0
2015,Chile,36.0,36.0
2016,Chile,38.0,38.0
2017,Chile,38.0,38.0
2018,Chile,39.0,39.0
2019,Chile,40.0,40.0
2020,Chile,38.0,38.0
1990,Colombia,24.0,24.0
1991,Colombia,24.0,24.0
1992,Colombia,25.0,25.0
1993,Colombia,26.0,26.0
1994,Colombia,27.0,27.0
1995,Colombia,28.0,28.0
1996,Colombia,28.0,28.0
1997,Colombia,27.0,27.0
1998,Colombia,29.0,29.0
1999,Colombia,26.0,26.0
2000,Colombia,26.0,26.0
2001,Colombia,26.0,26.0
2002,Colombia,25.0,25.0
2003,Colombia,26.0,26.0
2004,Colombia,26.0,26.0
2005,Colombia,27.0,27.0
2006,Colombia,29.0,29.0
2007,Colombia,28.0,28.0
2008,Colombia,30.0,30.0
2009,Colombia,31.0,31.0
2010,Colombia,30.0,30.0
2011,Colombia,31.0,31.0
2012,Colombia,30.0,30.0
2013,Colombia,40.0,40.0
2014,Colombia,40.0,40.0
2015,Colombia,41.0,41.0
2016,Colombia,42.0,42.0
2017,Colombia,40.0,40.0
2018,Colombia,39.0,39.0
2019,Colombia,41.0,41.0
2020,Colombia,39.0,39.0
1990,Mexico,124.0,124.0
1991,Mexico,130.0,130.0
1992,Mexico,131.0,131.0
1993,Mexico,133.0,133.0
1994,Mexico,136.0,136.0
1995,Mexico,132.0,132.0
1996,Mexico,135.0,135.0
1997,Mexico,142.0,142.0
1998,Mexico,146.0,146.0
1999,Mexico,150.0,150.0
2000,Mexico,151.0,151.0
2001,Mexico,155.0,155.0
2002,Mexico,157.0,157.0
2003,Mexico,168.0,168.0
2004,Mexico,171.0,171.0
2005,Mexico,181.0,181.0
2006,Mexico,184.0,184.0
2007,Mexico,183.0,183.0
2008,Mexico,184.0,184.0
2009,Mexico,180.0,180.0
2010,Mexico,179.0,179.0
2011,Mexico,187.0,187.0
2012,Mexico,192.0,192.0
2013,Mexico,192.0,192.0
2014,Mexico,188.0,188.0
2015,Mexico,185.0,185.0
2016,Mexico,185.0,185.0
2017,Mexico,180.0,180.0
2018,Mexico,181.0,181.0
2019,Mexico,176.0,176.0
2020,Mexico,151.0,151.0
1990,Venezuela,40.0,40.0
1991,Venezuela,41.0,41.0
1992,Venezuela,46.0,46.0
1993,Venezuela,43.0,43.0
1994,Venezuela,50.0,50.0
1995,Venezuela,47.0,47.0
1996,Venezuela,50.0,50.0
1997,Venezuela,50.0,50.0
1998,Venezuela,52.0,52.0
1999,Venezuela,58.0,58.0
2000,Venezuela,59.0,59.0
2001,Venezuela,55.0,55.0
2002,Venezuela,67.0,67.0
2003,Venezuela,63.0,63.0
2004,Venezuela,61.0,61.0
2005,Venezuela,64.0,64.0
2006,Venezuela,65.0,65.0
2007,Venezuela,66.0,66.0
2008,Venezuela,66.0,66.0
2009,Venezuela,63.0,63.0
2010,Venezuela,75.0,75.0
2011,Venezuela,67.0,67.0
2012,Venezuela,69.0,69.0
2013,Venezuela,76.0,76.0
2014,Venezuela,66.0,66.0
2015,Venezuela,64.0,64.0
2016,Venezuela,59.0,59.0
2017,Venezuela,56.0,56.0
2018,Venezuela,42.0,42.0
2019,Venezuela,36.0,36.0
2020,Venezuela,29.0,29.0
1990,Indonesia,99.0,99.0
1991,Indonesia,103.0,103.0
1992,Indonesia,108.0,108.0
1993,Indonesia,119.0,119.0
1994,Indonesia,119.0,119.0
1995,Indonesia,131.0,131.0
1996,Indonesia,136.0,136.0
1997,Indonesia,140.0,140.0
1998,Indonesia,137.0,137.0
1999,Indonesia,144.0,144.0
2000,Indonesia,156.0,156.0
2001,Indonesia,159.0,159.0
2002,Indonesia,165.0,165.0
2003,Indonesia,165.0,165.0
2004,Indonesia,176.0,176.0
2005,Indonesia,179.0,179.0
2006,Indonesia,183.0,183.0
2007,Indonesia,182.0,182.0
2008,Indonesia,185.0,185.0
2009,Indonesia,196.0,196.0
2010,Indonesia,202.0,202.0
2011,Indonesia,205.0,205.0
2012,Indonesia,204.0,204.0
2013,Indonesia,197.0,197.0
2014,Indonesia,206.0,206.0
2015,Indonesia,204.0,204.0
2016,Indonesia,209.0,209.0
2017,Indonesia,222.0,222.0
2018,Indonesia,231.0,231.0
2019,Indonesia,237.0,237.0
2020,Indonesia,225.0,225.0
1990,Japan,440.0,440.0
1991,Japan,445.0,445.0
1992,Japan,455.0,455.0
1993,Japan,458.0,458.0
1994,Japan,483.0,483.0
1995,Japan,495.0,495.0
1996,Japan,506.0,506.0
